content	lable
"그림 (가), (나)는 주사 전자 현미경(SEM)으로 동일한 시료를 촬영한 사진을 나타낸 것이다. 촬영에 사용된 전자의 운동 에너지는 (가)에서가 (나)에서보다 작다."	7
"그림 (가)는 보어의 수소 원자 모형에서 양자수 n에 따른 전자의 에너지 준위 일부와 전자의 전이 a, b, c를 나타낸 것이다. 그림 (나)는 a, b, c에서 방출 또는 흡수하는 빛의 스펙트럼을 X와 Y로 순서 없이 나타낸 것이다."	4
"그림과 같이 물체 A 또는 B와 추를 실로 연결하고 물체를 빗면의 점 p에 가만히 놓았더니, 물체가 등가속도 직선 운동하여 점 q를 통과하였다. 추의 질량은 1kg이다. 표는 물체의 질량, 물체가 p에서 q까지 운동하는 데 걸린 시간과 실이 물체에 작용 한 힘의 크기 T를 나타낸 것이다."	1
"그림은 매질 Ⅰ, Ⅱ에서 +x방향으로 진행하는 파동의 0초일 때와 6초일 때의 변위를 위치 x에 따라 나타낸 것이다."	6
"그림은 저울에 무게가 W0으로 같은 물체 P 또는 Q를 놓고 전지와 스위치에 연결된 코일을 가까이한 모습을 나타낸 것이다. P, Q는 강자성체, 상자성체를 순서 없이 나타낸 것이다. 표는 스위치를 a, b에 연결했을 때 저울의 측정값을 비교한 것이다."	5
다음은 전반사에 대한 실험이다.	6
"그림 (가)는 x축상에 점전하 A와 B를 각각 x=0과 x=d에 고정하고 점전하 C를 x>d인 범위에서 x축상에 놓은 모습을 나타낸 것이다. A와 C의 전하량의 크기는 같다. 그림 (나)는 C가 받는 전기력 F를 C의 위치 x에 따라 나타낸 것으로, 전기력은 +x방향일 때가 양(+)이다."	4
다음은 빛의 간섭을 활용하는 사례에 대한 설명이다.	6
"그림 (가)는 수평면에서 물체 A, B가 각각 속력 2v, 3v로 정지한 물체 C를 향해 운동하는 모습을 나타낸 것이다. B, C의 질량은 각각 m, 2m이다. 그림 (나)는 (가)의 순간부터 B와 C 사이의 거리를 시간 t에 따라 나타낸 것이다. A는 충돌 후 속력 v로 충돌 전과 같은 방향으로 운동한다."	1
"그림과 같이 높이가 2h인 평면, 수평면에서 각각 물체 A, B로 용수철 P, Q를 원래 길이에서 d만큼 압축시킨 후 가만히 놓으면 A와 B가 높이 3h인 평면에서 충돌한다. A의 속력은 B와 충돌 직전이 충돌 직후의 4배이다. B는 높이차가 h인 마찰 구간을 내려갈 때 등속도 운동하고, 마찰 구간을 올라갈 때 손실된 역학적 에너지는 내려갈 때와 같다. 충돌 후 A, B는 각각 P, Q를 원 래 길이에서 최대 d/2, x만큼 압축시킨다. A, B의 질량은 각각 2m, m이고, P, Q의 용수철 상수는 각각 k, 2k이다."	2
그림은 전자기파에 대해 학생이 발표하는 모습을 나타낸 것이다.	6
"그림 (가)는 막대자석의 모습을, (나)는 (가)의 자석의 가운데를 자른 모습을 나타낸 것이다"	5
"그림은 빛과 물질의 이중성에 대해 학생 A, B, C가 대화하는 모습을 나타낸 것이다"	7
"그림 (가)는 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위의 일부와, 전자가 전이하면서 진동수가 fa, fb인 빛이 방출되는 것을 나타낸 것이다. 그림 (나)는 분광기를 이용하여 (가)에서 방출되는 빛을 금속판에 비추는 모습을 나타낸 것으로, 광전자는 진동수가 fa, fb인 빛 중 하나에 의해서만 방출된다"	4
"그림 (가)는 매질 A, B에 볼펜을 넣어 볼펜이 꺾여 보이는 것을, (나)는 물속에 잠긴 다리가 짧아 보이는 것을 나타낸 것이다."	6
"다음은 두 가지 핵반응이다. A, B는 원자핵이다"	3
"그림은 실에 매달린 물체 A를 물체 B와 용수철로 연결하여 저울에 올려놓았더니 물체가 정지한 모습을 나타낸 것이다. A, B의 무게는 N으로 같고, 저울에 측정된 힘의 크기는 N이다"	1
"그림 (가)와 같이 마찰이 없는 수평면에 물체 A∼D가 정지해 있고, B와 C는 압축된 용수철에 접촉되어 있다. 그림 (나)는 (가)에서 B, C를 동시에 가만히 놓았더니 A와 B, C와 D가 각각 한 덩어리로 등속도 운동하는 모습을 나타낸 것이다. A, B, C, D의 질량은 각각 m, 2m, 3m, m이다."	1
"그림 (가)는 단색광 X가 매질 Ⅰ, Ⅱ, Ⅲ의 반원형 경계면을 지나는 모습을, (나)는 (가)에서 매질을 바꾸었을 때 X가 매질 ㉠과 ㉡ 사이의 임계각으로 입사하여 점 p에 도달한 모습을 나타낸 것이다. ㉠과 ㉡은 각각 Ⅰ과 Ⅱ 중 하나이다"	6
"그림 (가)는 두 점 S1, S2에서 진동수와 진폭이 같고 서로 반대의 위상으로 발생시킨 두 물결파의 시간 t=0일 때의 모습을 나타낸 것이다. 점 A, B, C는 평면상에 고정된 세 지점이고, 두 물결파의 속력은 같다. 그림 (나)는 C에서 중첩된 물결파의 변위를 t에 따라 나타낸 것이다."	6
다음은 특수 상대성 이론에 대한 사고 실험의 일부이다	3
"그림과 같이 p-n 접합 발광 다이오드(LED)가 연결된 한 변의 길이가 d인 정사각형 금속 고리가 종이면에 수직인 균일한 자기장 영역 Ⅰ, Ⅱ를 +x방향으로 등속도 운동하여 지난다. 고리의 중심이 x=4d를 지날 때 LED에서 빛이 방출된다. A는 p형 반도체와 n형 반도체 중 하나이다"	4
"그림 (가)와 같이 마찰이 없는 수평면에서 운동량의 크기가 각각 2p, p, p인 물체 A, B, C가 각각 +x, +x, -x방향으로 동일 직선상에서 등속도 운동한다. 그림 (나)는 (가)에서 A와 C의 위치를 시간에 따라 나타낸 것이다. B와 C의 질량은 같다"	1
"그림 (가)는 질량이 각각 M, m, 4m인 물체 A, B, C가 빗면과 나란한 실 p, q로 연결되어 정지해 있는 것을, (나)는 (가)에서 물체의 위치를 바꾸었더니 물체가 등가속도 운동하는 것을 나타낸 것이다. (가)에서 p가 B를 당기는 힘의 크기는 10/3mg이다"	1
"그림은 열기관에서 일정량의 이상 기체가 상태 A → B → C → D → A를 따라 순환하는 동안 기체의 압력과 부피를, 표는 각 과정에서 기체가 흡수 또는 방출하는 열량과 기체의 내부 에너지 증가량 또는 감소량을 나타낸 것이다"	2
"그림은 빗면을 따라 운동하는 물체 A가 점 q를 지나는 순간 점 p에 물체 B를 가만히 놓았더니, A와 B가 등가속도 운동하여 점 r에서 만나는 것을 나타낸 것이다. p와 r 사이의 거리는 d이고, r에서의 속력은 B가 A의 4/3배이다. p, q, r는 동일 직선상에 있다"	1
다음은 p-n 접합 다이오드를 이용한 회로에 대한 실험이다.	4
"그림과 같이 세기와 방향이 일정한 전류가 흐르는 무한히 긴 직선 도선 A～D가 xy평면에 수직으로 고정되어 있다. D에는 xy평면에 수직으로 들어가는 방향으로 전류가 흐른다. 원점 O에서 B, D의 전류에 의한 자기장은 0이다. 표는 xy평면의 점 p, q, r에서 두 도선의 전류에 의한 자기장의 방향을 나타낸 것이다."	5
"그림 (가)는 점전하 A, B, C를 x축상에 고정시킨 것으로 양(+)전하인 C에 작용하는 전기력의 방향은 +x방향이다. 그림 (나)는 (가)에서 A의 위치만 x=3d로 바꾸어 고정시킨 것으로 B, C에 작용하는 전기력의 방향은 +x방향으로 같다."	4
"그림은 질량이 각각 m, 2m인 물체 A, B를 실로 연결하고 서로 다른 빗면의 점 p, r에 정지시킨 모습을 나타낸 것이다. A를 가만히 놓았더니 A가 점 q를 지나는 순간 실이 끊어지고 A, B는 빗면을 따라 가속도의 크기가 각각 3a, 2a인 등가속도 운동을 한다. B는 마찰 구간이 시작되는 점 s부터 등속도 운동을 한다. A가 수평면에 닿기 직전 A의 운동 에너지는 마찰 구간에서 B의 운동 에너지의 2배이다. p와 s의 높이는 h1로 같고, q와 r의 높이는 h2로 같다."	2
"그림 (가)~(다)는 각각 원궤도를 따라 일정한 속력으로 운동하는 공 A, 수평으로 던져 낙하하는 공 B, 빗면에서 속력이 작아지는 운동을 하는 공 C의 운동 경로를 나타낸 것이다"	1
"그림은 기준선 P에 정지해 있던 두 자동차 A, B가 동시에 출발하는 모습을 나타낸 것이다. A, B는 P에서 기준선 Q까지 각각 등가속도 직선 운동을 하고, P에서 Q까지 운동하는 데 걸린 시간은 B가 A의 2배이다."	1
"그림과 같이 물체 A, B를 실로 연결하고 빗면의 점 p에서 A를 잡고 있다가 가만히 놓았더니 A, B가 등가속도 운동을 하다가 A가 점 q를 지나는 순간 실이 끊어졌다. 이후 A는 등가속도 직선 운동을 하여 다시 p를 지난다. A가 p에서 q까지 6m 이동하는 데 걸린 시간은 3초이고, q에서 p까지 6m 이동하는 데 걸린 시간은 1초이다. A와 B의 질량은 각각 mA, mB이다"	1
그림과 같이 수평면으로부터 높이 H인 왼쪽 빗면 위에 물체 를 가만히 놓았더니 물체는 수평면에서 속력 v로 운동한다. 이 후 물체는 일정한 마찰력이 작용하는 구간 Ⅰ을 지나 오른쪽 빗 면에 올라갔다가 다시 왼쪽 빗면의 높이 h인 지점까지 올라간 후 Ⅰ의 오른쪽 끝 점 p에서 정지한다.	2
"그림은 일정량의 이상 기체의 상태가 A → B → C → A를 따라 순환하는 동안 압력과 부피를 나타낸 것이다. 표는 과정 A →B, B →C, C → A를 순서 없이 Ⅰ, Ⅱ, Ⅲ으로 나타낸 것이다. Q는 기체가 흡수 또는 방출하는 열량, U는 기체의 내부 에너지 변화량, W는 기체가 한 일이다. B → C 과정은 등온 과정이다."	2
"그림 A, B, C는 충격량과 관련된 예를 나타낸 것이다."	1
"그림 (가)는 동일한 p-n 접합 다이오드 A와 B, 저항, 스위치를 전압이 일정한 직류 전원에 연결한 것을 나타낸 것이다. ㉠은 p형 반도체 또는 n형 반도체 중 하나이다. 그림 (나)는 스위치를 a 또는 b에 연결할 때 A에 흐르는 전류를 시간 t에 따라 나타낸 것이다. t=0부터 t=2T까지 스위치는 a에 연결되어 있다."	4
"그림은 동일 직선상에서 각각 일정한 속력으로 운동하는 물체 A와 B 사이의 거리를 시간 t에 따라 나 타낸 것이다. t=0부터 t=1초까지 A와 B는 서로를 향해 운동하여 t=1초인 순간 충돌하고, t=1초 이후 A와 B의 운동 방향은 충돌 전 A의 운동 방향과 같다. 질량은 A가 B의 2배이고, 충돌 후 운동량의 크기는 B가 A의 2배이다"	1
"그림 (가)는 보어의 수소 원자 모형에서 양자수 ?에 따른 전자의 에너지 준위의 일부와 전자의 전이 과정에서 방출되는 빛 a, b, c를 나타낸 것이다. b는 가시광선에 해당하는 빛이고, a와 c는 순서 없이 자외선, 적외선에 해당하는 빛이다. a, b, c의 진동수는 각각 fa , fb , fc이다. 그림 (나)는 전자기파의 일부를 파장에 따라 분류한 것이다. a와 c는 ㉠과 ㉡ 중 하나에 해당한다."	4
"그림 (가), (나)는 각각 광학 현미경, 전자 현미경으로 동일한 시료를 같은 배율로 관찰한 것이다. (나)는 (가)보다 작은 구조가 선명하게 관찰되고, 시료의 입체 구조가 확인된다. (가)를 얻기 위해 사용된 빛의 파장은 lambda1이고, (나)를 얻기 위해 사용된 전자의 물질파 파장과 속력은 각각 lambda2, v이다."	7
"그림은 관찰자 B에 대해 관찰자 A가 탄 우주선이 x축과 나란하게 광속에 가까운 속력으로 등속도 운동하는 모습을 나타낸 것이다. 광원, 검출기 P, Q를 잇는 직선은 x축과 나란하다. 광원에서 발생한 빛은 A의 관성계에서는 P보다 Q에 먼저 도달하고 B의 관성계에서는 Q보다 P에 먼저 도달한다. A의 관성계에서 광원에서 발생한 빛이 R까지 진행하는 데 걸린 시간은 t0이다."	3
그림은 핵분열 과정과 핵반응식을 나타낸 것이다. 중성자의 속력은 A가 B보다 작다	3
그림과 같이 단색광 A 또는 B를 광 다이오드에 비추었더니 광 다이오드에 전류가 흘렀다. 표는 단색광의 세기에 따른 전류의 세기를 측정한 것을 나타낸 것이다.	4
다음은 스피커를 이용한 파동의 간섭 실험이다.	6
그림 (가)와 같이 단색광이 매질 B와 C에서 진행한다. 단색광은 매질 A와 B의 경계면에 있는 p점과 A와 C의 경계면에 있는 r점에서 전반사한다. Theta1 > thata2이다. 그림 (나)는 (가)의 단색광이 코어와 클래딩으로 구성된 광섬유에서 전반사하는 모습을 나타낸 것이다.	6
"표는 보어의 수소 원자 모형에서 양자수 n에 따른 핵과 전자 사이의 거리, 핵과 전자 사이에 작용하는 전기력의 크기, 전자의 에너지 준위를 나타낸 것이다."	4
"그림과 같이 일정한 세기의 전류가 각각 흐 르는 무한히 긴 두 직선 도선 A, B가 xy평면에 수직으로 y축에 고정되어 있다. 점 a, b, c는 y축 상에 있다. A와 B의 전류에 의한 자기장의 세기는 a에서가 b에서보다 크고, 방향은 a 와 b에서 서로 같다."	5
"그림 (가)와 같이 물체 A가 수평면에서 용수철이 달린 정지해 있는 물체 B를 향해 등속 직선 운동한다. 그림 (나)는 (가)에서 A와 B가 충돌하고 분리된 후 B가 수평면에서 등속 직선 운동하는 모습을 나타낸 것이다. (나)에서 B의 속력은 (가)에서 A의 속력의 2/3배이고, 질량은 B가 A의 2배이다."	2
다음은 전자기 유도에 대한 실험이다.	5
그림 (가)와 같이 동일한 단색광 P가 매질 C에서 매질 A와 B로 각각 입사하여 굴절하였다. 그림 (나)는 P가 B에서 A로 입사하는 모습을 나타낸 것이다.	6
"그림 A, B, C는 자기장을 활용한 장치의 예를 나타낸 것이다"	5
"그림은 자성체에 대해 학생 A, B, C가 대화하는 모습을 나타낸 것이다"	5
"그림 (가)는 전자기파를 파장에 따라 분류한 것을, (나)는 (가)의 전자기파 A를 이용하는 레이더가 설치된 군함을 나타낸 것이다."	6
다음은 파동의 간섭을 활용한 무반사 코팅 렌즈에 대한 내용이다.	6
"그림은 고체 A, B의 에너지띠 구조를 나타낸 것이다. A, B에서 전도띠의 전자가 원자가 띠로 전이하며 빛이 방출된다"	4
"그림과 같이 단색광 A를 금속판 P에 비추었을 때 광전자가 방출되지 않고, 단색광 B, C를 각각 P에 비추었을 때 광전자가 방출된다. 방출된 광전자의 최대 운동 에너지는 B를 비추었을 때가 C를 비추었을 때보다 크다"	7
그림 (가)는 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위 일부와 전자의 전이 a～d를 나타낸 것이다. 그림 (나)는 a～d에서 방출과 흡수되는 빛의 스펙트럼을 파장에 따라 나타낸 것이다	4
"그림 (가)는 기울기가 서로 다른 빗면에서 v0의 속력으로 동시에 출발한 물체 A, B, C가 각각 등가속도 운동하는 모습을 나타낸 것이다. 그림 (나)는 A, B, C가 각각 최고점에 도달하는 순간까지 물체의 속력을 시간에 따라 나타낸 것이다"	1
"그림 (가)는 수평면에서 질량이 각각 2kg, 3kg인 물체 A, B가 각각 6m/s, 3m/s의 속력으로 등속도 운동하는 모습을 나타낸 것이다. 그림 (나)는 A와 B가 충돌하는 동안 A가 B에 작용한 힘의 크기를 시간에 따라 나타낸 것이다. 곡선과 시간 축이 만드는 면적은 6N?s이다"	1
그림은 시간 t=0일 때 2m/s의 속력으로 x축과 나란하게 진행하는 파동의 변위를 위치 x에 따라 나타낸 것이다.	6
다음은 자석의 무게를 측정하는 실험이다	1
"다음은 두 가지 핵반응을, 표는 원자핵 a～d의 질량수와 양성자수를 나타낸 것이다"	3
"그림과 같이 수평면의 일직선상에서 물체 A, B가 각각 속력 4v, v로 등속도 운동하고 물체 C는 정지해 있다. A와 B는 충돌하여 한 덩어리가 되어 속력 3v로 등속도 운동한다. 한 덩어리가 된 A, B와 C는 충돌하여 한 덩어리가 되어 속력 v로 등속도 운동한다"	1
"그림 (가)는 물체 A, B, C를 실로 연결하여 수평면의 점 p에서 B를 가만히 놓아 물체가 등가속도 운동하는 모습을, (나)는 (가)의 B가 점 q를 지날 때부터 점 r를 지날 때까지 운동 방향과 반대 방향으로 크기가 1/4mg인 힘을 받아 물체가 등가속도 운동하는 모습을 나타낸 것이다. p와 q 사이, q와 r 사이의 거리는 같고, B가 q, r를 지날 때 속력은 각각 4v, 5v이다. A, B, C의 질량은 각각 m, m, M이다."	1
다음은 빛의 성질을 알아보는 실험이다	6
"그림은 열효율이 0.5인 열기관에서 일정량의 이상 기체의 상태가 A → B →C → D → A를 따라 변할 때 기체의 압력과 부피를 나타낸 것이다. A → B, C → D는 각각 압력이 일정한 과정이고, B → C, D → A는 각각 단열 과정이다. A → B 과정에서 기체가 흡수한 열량은 Q이다. 표는 각 과정에서 기체가 외부에 한 일 또는 외부로부터 받은 일을 나타낸 것이다."	2
"그림과 같이 관찰자 A의 관성계에서 광원 X, Y와 검출기 P, Q가 점 O로부터 각각 같은 거리 L만큼 떨어져 정지해 있고 X, Y로부터 각각 P, Q를 향해 방출된 빛은 O를 동시에 지난다. 관찰자 B가 탄 우주선은 A에 대해 광속에 가까운 속력 v로 X와 P를 잇는 직선과 나란하게 운동한다"	3
"그림과 같이 무한히 긴 직선 도선 A, B와 원형 도선 C가 xy평면에 고정되어 있다. A, B에는 같은 세기의 전류가 흐르고, C에는 세기가 I0인 전류가 시계 반대 방향으로 흐른다. 표는 C의 중심 위치를 각각 점 p, q에 고정할 때, C의 중심에서 A, B, C의 전류에 의한 자기장의 세기와 방향을 나타낸 것이다"	5
"그림은 높이 h인 평면에서 용수철 P에 연결된 물체 A에 물체 B를 접촉시키고, P를 원래 길이에서 2d만큼 압축시킨 모습을 나타낸 것이다. B를 가만히 놓으면 B는 P의 원래 길이에서 A와 분리되어 면을 따라 운동하고 A는 P에 연결된 채로 직선 운동한다. 이후 B는 높이차가 2h인 마찰 구간을 등속도로 지나 수평면에 놓인 용수철 Q를 원래 길이에서 sqrt2d만큼 압축시킬 때 속력이 0이 된다. A와 B가 분리된 후 P의 탄성 퍼텐셜 에너지의 최댓값은 B가 마찰 구간에서 높이차 2h만큼 내려가는 동안 B의 역학적 에너지 감소량과 같다. P, Q의 용수철 상수는 같다"	2
"그림과 같이 x축상에 점전하 A, B를 각각 x=0, x=3d에 고정한다. 양(+)전하인 점전하 P를 x축상에 옮기며 고정할 때, x=d에서 P에 작용하는 전기력의 방향은 +x방향이고, x>3d에서 P에 작용하는 전기력의 방향이 바뀌는 위치가 있다"	4
다음은 비접촉식 체온계의 작동에 대한 설명이다.	6
"그림 (가)는 속력이 빨라지며 직선 운동하는 수레의 모습을, (나)는 포물선 운동하는 배구공의 모습을, (다)는 회전하고 있는 놀이 기구에 탄 사람의 모습을 나타낸 것이다."	1
"그림은 전자 현미경과 광학 현미경에 대해 학생 A, B, C가 대화하는 모습을 나타낸 것이다."	7
다음은 두 가지 핵반응을 나타낸 것이다.	3
"그림은 보어의 수소 원자 모형에서 양자수 n에 따른 에너지 준위의 일부와 전자의 전이 a, b, c를 나타낸 것이다. a, b, c에서 방출되는 광자 1개의 에너지는 각각 Ea, Eb, Ec이다."	4
"그림 (가)는 고체 A, B의 전기 전도도를 나타낸 것이다. A, B는 각각 도체와 반도체 중 하나이다. 그림 (나)의 X, Y는 A, B의 에너지띠 구조를 순서 없이 나타낸 것이다."	4
"그림과 같이 수평면에서 물체 A, B가 각각 4v, v의 속력으로 운동하다가 A와 B가 충돌한 후 A는 충돌 전과 반대 방향으로 v의 속력으로 운동한다. A와 충돌한 B는 정지해 있는 물체 C와 충돌한 후 한 덩어리가 되어 운동한다. A, B의 질량은 각각 m, 5m이고, B가 A로부터 받은 충격량의 크기는 B가 C로부터 받은 충격량의 크기의 2배이다"	1
다음은 물결파에 대한 실험이다	6
"그림과 같이 관찰자 A에 대해 관찰자 B가 탄 우주선이 광속에 가까운 속력 v로 등속도 운동한다. A의 관성계에서, 광원 p, q와 검출기는 정지해 있고, p와 검출기를 잇는 직선은 우주선의 운동 방향과 나란하다. B의 관성계에서, p와 q에서 동시에 방출된 빛은 검출기에 동시에 도달한다."	3
"그림 (가)는 물체 A와 실로 연결된 물체 B에 수평 방향으로 일정한 힘 F를 작용하여 A, B가 등가속도 운동하는 모습을, (나)는 (가)에서 F를 제거한 후 A, B가 등가속도 운동하는 모습을 나타낸 것이다. A의 가속도의 크기는 (가)에서와 (나)에서가 같고, 실이 B를 당기는 힘의 크기는 (가)에서가 (나)에서의 2배이다. B의 질량은 m이다."	1
"그림은 동일한 p-n 접합 다이오드 A ~ D, 전구, 스위치, 동일한 전지를 이용하여 구성한 회로를 나타낸 것이다. 스위치를 a에 연결하면 전구에 불이 켜진다. X는 p형 반도체와 n형 반도체 중 하나이다"	4
"그림은 열효율이 0.2인 열기관에서 일정량의 이상 기체가 상태 A → B →C →D →A를 따라 순환하는 동안 기체의 압력과 부피를 나타낸 것이다. A → B 과정과 C → D 과정은 부피가 일정한 과정이고, B → C 과정과 D→A과정은 온도가 일정한 과정이다. B→C과정에서 기체가 흡수한 열량은 4Q이고, D → A 과정에서 기체가 방출한 열량은 3Q이다."	2
"그림 (가)와 같이 자기화되어 있지 않은 물체 A, B를 균일한 자기장 영역에 놓았더니 A, B가 자기화되었다. 그림 (나)와 같이 자기화되어있지 않은 물체 C를 실에 매단 후 (가)의 자기장 영역에서 꺼낸 A를 C의 연직 아래에 가까이 가져갔더니 실이 C를 당기는 힘의 크기가 C의 무게보다 작아졌다. A, B, C는 강자성체, 반자성체, 상자성체를 순서 없이 나타낸 것이다."	5
"그림과 같이 N극이 아래로 향한 자석이 금속 고리의 중심축을 따라 운동하여 점 p, q를 지난다. p, q로부터 고리의 중심까지의 거리는 서로 같다. 고리에 흐르는 유도 전류의 세기는 자석이 p를 지날 때가 q를 지날 때보다 작다."	5
"그림과 같이 매질 A와 B의 경계면에 입사한 단색광이 굴절한 후 B와 A의 경계면에서 반사하여 B와 매질 C의 경계면에 입사한다. theta는 B와 A 사이의 임계각이고, 굴절률은 A가 C보다 크다."	6
"그림과 같이 직선 도로에서 자동차 A가 기준선 P를 통과하는 순간 자동차 B가 기준선 Q를 통과한다. A, B는 각각 등속도 운동, 등가속도 운동하여 B가 기준선 R에서 정지한 순간부터 2초 후 A가 R를 통과한다. Q에서의 속력은 A가 B의 5/4 배이다. P와 Q 사이의 거리는 30m이고 Q와 R 사이의 거리는 10m이다."	1
다음은 소리의 간섭 실험이다.	6
"그림 (가)와 같이 점전하 A, B, C를 x축상에 고정시켰더니 양(+)전하 B에 작용하는 전기력이 0이 되었다. 그림 (나)와 같이 (가)의 C를 x=4d로 옮겨 고정시켰더니 B에 작용하는 전기력의 방향이 +x방향이 되었다. C에 작용하는 전기력의 크기는 (가)에서가 (나)에서의 2배이다."	4
"그림과 같이 일정한 방향으로 전류가 흐르는 무한히 긴 직선 도선 P, Q, R가 xy평면에 고정되어 있다. P, R에 흐르는 전류의 세기는 일정하다. 표는 Q에 흐르는 전류의 세기에 따라 xy평면상의 점 a, b에서 P, Q, R의 전류에 의한 자기장을 나타낸 것이다."	5
"그림과 같이 수평면에서 질량이 각각 2m. m인 물체 A, B를 용수철의 양 끝에 접촉하여 용수철을 압축시킨 후 동시에 가만히 놓았더니 A, B가 궤도를 따라 운동하여 A는 마찰 구간에서 정지하고, B는 점 p, q를 지나 점 r에서 정지한다. p에서 q까지는 마찰 구간이고 p의 높이는 7h, q와 r의 높이 차는 h이다. B의 속력은 p에서가 q에서의 3배이고, p에서 q까지 운동하는 동안 B의 운동 에너지 감소량은 B의 중력 퍼텐셜 에너지 증가량의 3배이다."	2
"그림은 자동차 A, B, C의 운동을 나타낸 것이다. A는 일정한 속력으로 직선 경로를 따라, B는 속력이 변하면서 직선 경로를 따라, C는 일정한 속력으로 곡선 경로를 따라 운동을 한다."	1
다음은 두 가지 핵반응이다.	3
"그림 (가)는 초음파를 이용하여 인체 내의 이물질을 파괴하는 의료 장비를, (나)는 소음 제거 이어폰을 나타낸 것이다."	6
그림은 스마트폰에 정보를 전송하는 과정을 나타낸 것이다. A와 B는 각각 적외선과 마이크로파 중 하나이다.	6
다음은 물결파에 대한 실험이다.	6
"그림은 열기관에 들어 있는 일정량의 이상 기체의 압력과 부피 변화를 나타낸 것으로, 상태 A → B, C → D, E → F는 등압 과정, B → C → E, F → D → A는 단열 과정이다. 표는 순환 과정 Ⅰ과 Ⅱ에서 기체의 상태 변화를 나타낸 것이다."	2
표는 보어의 수소 원자 모형에서 양 자수 n에 따른 에너지의 일부를 나타낸 것이다.	4
"그림 (가)와 같이 동일한 p-n 접합 다이오드 A, B, C와 직류 전원을 연결하여 회로를 구성하였다. X, Y는 각각 p형 반도체와 n형 반도체 중 하나이며 B에는 전류가 흐른다. 그림 (나)는 X의 원자가 전자 배열과 Y의 에너지띠 구조를 각각 나타낸 것이다"	4
"그림 (가)와 같이 마찰이 없는 수평면에서 물체 A가 정지해 있는 물체 B, C를 향해 운동한다. A, B, C의 질량은 각각 M, m, m이다. 그림 (나)는 (가)의 순간부터 A와 C 사이의 거리를 시간에 따라 나타낸 것이다."	1
"그림은 단색광 P가 매질 X, Y, Z에서 진행하는 모습을 나타낸 것이다. Theta0과 theta1은 각 경계면에서의 P의 입사각 또는 굴절각이 고, P는 Z와 X의 경계면에서 전반사한다."	6
"그림 (가), (나)와 같이 무게가 10 N인 물체가 용수철에 매달려 정지해 있다. (가), (나)에서 용수철이 물체에 작용하는 탄성력의 크기는 같고, (나)에서 손은 물체를 연직 위로 떠받치고 있다."	1
다음은 전동 스테이플러의 작동 원리이다.	5
"그림 (가)와 같이 종이면에 수직으로 들어가는 방향의 균일한 자기장 영역 Ⅰ과 Ⅱ에서 종이면에 고정된 동일한 원형 금속 고리 P, Q의 중심이 각 영역의 경계에 있다. 그림 (나)는 (가)의 Ⅰ과 Ⅱ에서 자기장의 세기를 시간에 따라 나타낸 것이다"	5
"그림은 현미경 A, B로 관찰할 수 있는 물체의 크기를 나타낸 것으로, A와 B는 각각 광학 현미경과 전자 현미경 중 하나이다. 사진 X, Y는 시료 P를 각각 A, B로 촬영한 것이다."	7
